,Unnamed: 0,Star_name,Distance,Mass,Radius
4198,78.0,SDSS J074201.41+205520.5 [de],49,0.041047284,0.09659721999999998
4199,107.0,DENIS-P J1058.7−1548,49,0.061093632,0.102763
4200,78.0,SDSS J074201.41+205520.5 [de],49,0.041047284,0.09659721999999998
4201,107.0,DENIS-P J1058.7−1548,49,0.061093632,0.102763
4202,78.0,SDSS J074201.41+205520.5 [de],49,0.041047284,0.09659721999999998
4203,107.0,DENIS-P J1058.7−1548,49,0.061093632,0.102763
4204,78.0,SDSS J074201.41+205520.5 [de],49,0.041047284,0.09659721999999998
4205,107.0,DENIS-P J1058.7−1548,49,0.061093632,0.102763
4206,78.0,SDSS J074201.41+205520.5 [de],49,0.041047284,0.09659721999999998
4207,107.0,DENIS-P J1058.7−1548,49,0.061093632,0.102763
4208,92.0,2MASSI J0859254-194926 [de],50,0.0477294,0.10070773999999999
4209,158.0,2MASSW J1632291+190441 [de],50,0.046774812,0.09968010999999999
4210,92.0,2MASSI J0859254-194926 [de],50,0.0477294,0.10070773999999999
4211,158.0,2MASSW J1632291+190441 [de],50,0.046774812,0.09968010999999999
4212,92.0,2MASSI J0859254-194926 [de],50,0.0477294,0.10070773999999999
4213,158.0,2MASSW J1632291+190441 [de],50,0.046774812,0.09968010999999999
4214,92.0,2MASSI J0859254-194926 [de],50,0.0477294,0.10070773999999999
4215,158.0,2MASSW J1632291+190441 [de],50,0.046774812,0.09968010999999999
4216,92.0,2MASSI J0859254-194926 [de],50,0.0477294,0.10070773999999999
4217,158.0,2MASSW J1632291+190441 [de],50,0.046774812,0.09968010999999999
4218,92.0,2MASSI J0859254-194926 [de],50,0.0477294,0.10070773999999999
4219,158.0,2MASSW J1632291+190441 [de],50,0.046774812,0.09968010999999999
4220,92.0,2MASSI J0859254-194926 [de],50,0.0477294,0.10070773999999999
4221,158.0,2MASSW J1632291+190441 [de],50,0.046774812,0.09968010999999999
4222,92.0,2MASSI J0859254-194926 [de],50,0.0477294,0.10070773999999999
4223,158.0,2MASSW J1632291+190441 [de],50,0.046774812,0.09968010999999999
4224,92.0,2MASSI J0859254-194926 [de],50,0.0477294,0.10070773999999999
4225,158.0,2MASSW J1632291+190441 [de],50,0.046774812,0.09968010999999999
4226,92.0,2MASSI J0859254-194926 [de],50,0.0477294,0.10070773999999999
4227,158.0,2MASSW J1632291+190441 [de],50,0.046774812,0.09968010999999999
4228,92.0,2MASSI J0859254-194926 [de],50,0.0477294,0.10070773999999999
4229,158.0,2MASSW J1632291+190441 [de],50,0.046774812,0.09968010999999999
4230,92.0,2MASSI J0859254-194926 [de],50,0.0477294,0.10070773999999999
4231,158.0,2MASSW J1632291+190441 [de],50,0.046774812,0.09968010999999999
4232,92.0,2MASSI J0859254-194926 [de],50,0.0477294,0.10070773999999999
4233,158.0,2MASSW J1632291+190441 [de],50,0.046774812,0.09968010999999999
4234,92.0,2MASSI J0859254-194926 [de],50,0.0477294,0.10070773999999999
4235,158.0,2MASSW J1632291+190441 [de],50,0.046774812,0.09968010999999999
4236,92.0,2MASSI J0859254-194926 [de],50,0.0477294,0.10070773999999999
4237,158.0,2MASSW J1632291+190441 [de],50,0.046774812,0.09968010999999999
4238,92.0,2MASSI J0859254-194926 [de],50,0.0477294,0.10070773999999999
4239,158.0,2MASSW J1632291+190441 [de],50,0.046774812,0.09968010999999999
4240,18.0,SDSSp J010752.33+004156.1 [de],51,0.049638576000000004,0.10070773999999999
